VIN,partid,condition,cause
2G1145S30G9954817,1,91,
2G1145S30G9954817,6,84,
2G1145S30G9954817,11,96,
2G1145S30G9954817,19,51,
2G1145S30G9954817,22,88,
2G1145S30G9954817,28,66,
2G1145S30G9954817,31,85,
2G1145S30G9954817,38,78,
2G1145S30G9954817,43,67,
2G1145S30G9954817,49,58,
2G1145S30G9954817,53,79,
2G1145S30G9954817,59,75,
2G1145S30G9954817,61,63,
1HAS4AKC3GR119798,2,57,
1HAS4AKC3GR119798,10,79,
1HAS4AKC3GR119798,13,85,
1HAS4AKC3GR119798,18,76,
1HAS4AKC3GR119798,21,75,
1HAS4AKC3GR119798,28,89,
1HAS4AKC3GR119798,34,68,
1HAS4AKC3GR119798,37,63,
1HAS4AKC3GR119798,41,52,
1HAS4AKC3GR119798,47,88,
1HAS4AKC3GR119798,51,86,
1HAS4AKC3GR119798,58,59,
1HAS4AKC3GR119798,62,57,
1FAHP2F36GG648079,2,47,
1FAHP2F36GG648079,7,85,
1FAHP2F36GG648079,12,62,
1FAHP2F36GG648079,19,63,
1FAHP2F36GG648079,21,84,
1FAHP2F36GG648079,30,60,
1FAHP2F36GG648079,32,89,
1FAHP2F36GG648079,38,94,
1FAHP2F36GG648079,42,78,
1FAHP2F36GG648079,50,62,
1FAHP2F36GG648079,55,90,
1FAHP2F36GG648079,57,95,
1FAHP2F36GG648079,61,62,
2G1145S30G9417041,4,88,
2G1145S30G9417041,9,56,
2G1145S30G9417041,13,67,
2G1145S30G9417041,20,98,
2G1145S30G9417041,23,76,
2G1145S30G9417041,29,89,
2G1145S30G9417041,34,54,
2G1145S30G9417041,38,92,
2G1145S30G9417041,41,60,
2G1145S30G9417041,48,54,
2G1145S30G9417041,53,73,
2G1145S30G9417041,58,95,
2G1145S30G9417041,62,57,
1GKS2AKC3GR576216,2,75,
1GKS2AKC3GR576216,7,70,
1GKS2AKC3GR576216,13,97,
1GKS2AKC3GR576216,20,54,
1GKS2AKC3GR576216,24,77,
1GKS2AKC3GR576216,27,68,
1GKS2AKC3GR576216,35,76,
1GKS2AKC3GR576216,39,80,
1GKS2AKC3GR576216,44,56,
1GKS2AKC3GR576216,47,61,
1GKS2AKC3GR576216,52,57,
1GKS2AKC3GR576216,60,87,
1GKS2AKC3GR576216,61,80,
1FAHP1F85GG269582,5,49,
1FAHP1F85GG269582,9,90,
1FAHP1F85GG269582,13,71,
1FAHP1F85GG269582,16,89,
1FAHP1F85GG269582,24,86,
1FAHP1F85GG269582,30,67,
1FAHP1F85GG269582,32,46,
1FAHP1F85GG269582,39,82,
1FAHP1F85GG269582,41,50,
1FAHP1F85GG269582,50,93,
1FAHP1F85GG269582,53,64,
1FAHP1F85GG269582,56,77,
1FAHP1F85GG269582,63,56,
1FAHP1F85GG385446,1,89,
1FAHP1F85GG385446,7,56,
1FAHP1F85GG385446,11,57,
1FAHP1F85GG385446,20,82,
1FAHP1F85GG385446,23,74,
1FAHP1F85GG385446,28,74,
1FAHP1F85GG385446,32,52,
1FAHP1F85GG385446,38,97,
1FAHP1F85GG385446,43,71,
1FAHP1F85GG385446,47,59,
1FAHP1F85GG385446,54,90,
1FAHP1F85GG385446,57,70,
1FAHP1F85GG385446,61,68,
2G1145S30G9905089,5,64,
2G1145S30G9905089,6,57,
2G1145S30G9905089,15,81,
2G1145S30G9905089,20,80,
2G1145S30G9905089,25,93,
2G1145S30G9905089,26,97,
2G1145S30G9905089,33,88,
2G1145S30G9905089,36,75,
2G1145S30G9905089,45,92,
2G1145S30G9905089,49,70,
2G1145S30G9905089,52,85,
2G1145S30G9905089,59,65,
2G1145S30G9905089,64,52,
1HAS4AKC3GR952466,5,50,
1HAS4AKC3GR952466,10,59,
1HAS4AKC3GR952466,15,77,
1HAS4AKC3GR952466,16,57,
1HAS4AKC3GR952466,23,62,
1HAS4AKC3GR952466,27,51,
1HAS4AKC3GR952466,32,62,
1HAS4AKC3GR952466,37,77,
1HAS4AKC3GR952466,43,80,
1HAS4AKC3GR952466,50,70,
1HAS4AKC3GR952466,51,82,
1HAS4AKC3GR952466,57,86,
1HAS4AKC3GR952466,62,54,
1HAS4AKC3GR253488,3,91,
1HAS4AKC3GR253488,6,85,
1HAS4AKC3GR253488,15,78,
1HAS4AKC3GR253488,20,13,Possible Defect
1HAS4AKC3GR253488,23,46,
1HAS4AKC3GR253488,28,79,
1HAS4AKC3GR253488,35,49,
1HAS4AKC3GR253488,38,59,
1HAS4AKC3GR253488,45,59,
1HAS4AKC3GR253488,49,96,
1HAS4AKC3GR253488,55,72,
1HAS4AKC3GR253488,59,99,
1HAS4AKC3GR253488,64,98,
1FAHP1F85GG658361,5,91,
1FAHP1F85GG658361,7,76,
1FAHP1F85GG658361,14,49,
1FAHP1F85GG658361,18,73,
1FAHP1F85GG658361,21,25,Possible Defect
1FAHP1F85GG658361,27,98,
1FAHP1F85GG658361,31,97,
1FAHP1F85GG658361,36,89,
1FAHP1F85GG658361,43,47,
1FAHP1F85GG658361,47,67,
1FAHP1F85GG658361,53,69,
1FAHP1F85GG658361,56,70,
1FAHP1F85GG658361,63,46,
2G1378S30G9762515,4,97,
2G1378S30G9762515,9,49,
2G1378S30G9762515,11,56,
2G1378S30G9762515,16,69,
2G1378S30G9762515,21,62,
2G1378S30G9762515,27,88,
2G1378S30G9762515,35,53,
2G1378S30G9762515,39,97,
2G1378S30G9762515,41,63,
2G1378S30G9762515,47,81,
2G1378S30G9762515,53,81,
2G1378S30G9762515,58,54,
2G1378S30G9762515,63,55,
1HAS4AKC3GR690392,5,95,
1HAS4AKC3GR690392,6,90,
1HAS4AKC3GR690392,13,46,
1HAS4AKC3GR690392,17,44,
1HAS4AKC3GR690392,25,45,
1HAS4AKC3GR690392,28,58,
1HAS4AKC3GR690392,33,60,
1HAS4AKC3GR690392,36,50,
1HAS4AKC3GR690392,44,49,
1HAS4AKC3GR690392,46,76,
1HAS4AKC3GR690392,53,93,
1HAS4AKC3GR690392,59,60,
1HAS4AKC3GR690392,63,90,
2G1378S30G9186938,4,54,
2G1378S30G9186938,9,52,
2G1378S30G9186938,11,67,
2G1378S30G9186938,19,74,
2G1378S30G9186938,24,69,
2G1378S30G9186938,30,74,
2G1378S30G9186938,32,70,
2G1378S30G9186938,36,51,
2G1378S30G9186938,43,93,
2G1378S30G9186938,49,71,
2G1378S30G9186938,54,85,
2G1378S30G9186938,60,53,
2G1378S30G9186938,64,89,
2G1355S30G9952096,2,83,
2G1355S30G9952096,9,79,
2G1355S30G9952096,14,58,
2G1355S30G9952096,20,78,
2G1355S30G9952096,22,80,
2G1355S30G9952096,28,96,
2G1355S30G9952096,35,64,
2G1355S30G9952096,38,58,
2G1355S30G9952096,41,99,
2G1355S30G9952096,50,90,
2G1355S30G9952096,55,48,
2G1355S30G9952096,60,56,
2G1355S30G9952096,63,57,
1FAHP2F36GG592362,3,60,
1FAHP2F36GG592362,8,90,
1FAHP2F36GG592362,14,61,
1FAHP2F36GG592362,19,92,
1FAHP2F36GG592362,25,63,
1FAHP2F36GG592362,29,53,
1FAHP2F36GG592362,33,85,
1FAHP2F36GG592362,36,95,
1FAHP2F36GG592362,44,69,
1FAHP2F36GG592362,46,52,
1FAHP2F36GG592362,53,90,
1FAHP2F36GG592362,57,46,
1FAHP2F36GG592362,61,57,
1GKS2AKC3GR648189,3,90,
1GKS2AKC3GR648189,6,24,Normal Wear
1GKS2AKC3GR648189,14,45,
