VIN,Mileage,Oil Life,Average MPG,Brake Fluid Level,Brake Fluid Pressure,Oil Pressure
2G1145S30G9954817,7925,25,21,Full,Good,Good
1HAS4AKC3GR119798,27642,72,26,Full,Good,Good
1FAHP2F36GG648079,14025,48,35,Full,Good,Good
2G1145S30G9417041,7839,74,24,Full,Good,Good
1GKS2AKC3GR576216,12628,57,26,Full,Good,Good
1FAHP1F85GG269582,16902,63,29,Full,Good,Good
1FAHP1F85GG385446,11088,63,27,Full,Good,Good
2G1145S30G9905089,14574,74,29,Full,Good,Good
1HAS4AKC3GR952466,29103,84,25,Full,Good,Good
1HAS4AKC3GR253488,26649,39,34,Full,Good,Good
1FAHP1F85GG658361,10735,85,23,Acceptable,Good,Good
2G1378S30G9762515,18479,82,21,Full,Good,Good
1HAS4AKC3GR690392,16132,61,24,Full,Good,Good
2G1378S30G9186938,16038,85,36,Full,Good,Good
2G1355S30G9952096,27461,89,28,Full,Good,Good
1FAHP2F36GG592362,8565,41,33,Full,Good,Good
1GKS2AKC3GR648189,24599,61,35,Full,Good,Good
1FAHP1F85GG251950,12821,77,27,Full,Good,Good
1HAS4AKC3GR873597,9200,84,26,Full,Good,Good
1FAHP2F36GG672785,12517,79,24,Full,Good,Good
2G1145S30G9134252,14915,76,26,Full,Good,Good
2G1145S30G9778161,23201,75,22,Full,Good,Good
1FAHP2F85GG617282,10121,71,27,Full,Good,Good
1FAHP2F85GG797864,6295,48,30,Full,Good,Good
2G1378S30G9860253,10214,84,34,Full,Good,Good
1HAS4AKC3GR640820,14302,78,30,Full,Good,Good
1GKS2AKC3GR857574,6832,32,23,Full,Good,Good
2G1355S30G9767197,12993,77,33,Full,Good,Good
1GKS2AKC3GR504233,18429,85,25,Full,Good,Good
1HAS4AKC3GR914666,13371,94,24,Full,Good,Good
2G1378S30G9345388,15534,73,31,Full,Good,Good
1GKS2AKC3GR172508,20409,78,35,Full,Good,Good
1FAHP2F36GG343425,20711,52,32,Full,Good,Good
1GKS2AKC3GR152658,7915,34,30,Full,Good,Good
1FAHP2F85GG605671,17879,51,34,Full,Good,Good
2G1378S30G9936787,14249,88,22,Full,Good,Good
1FAHP2F36GG309690,15378,75,22,Full,Good,Good
1GKS2AKC3GR887886,23396,74,25,Full,Good,Good
1HAS4AKC3GR255949,8648,57,20,Full,Good,Good
1FAHP1F85GG957757,26005,41,24,Full,Good,Good
1FAHP2F85GG510306,27605,94,33,Full,Good,Good
2G1378S30G9304770,10115,89,33,Full,Good,Good
2G1378S30G9226253,14545,94,34,Full,Good,Good
2G1145S30G9996412,23037,91,33,Full,Good,Good
2G1378S30G9370806,9133,92,28,Full,Good,Good
1FAHP1F85GG178061,6648,67,21,Full,Good,Acceptable
2G1378S30G9996239,25543,90,21,Full,Good,Good
1GKS2AKC3GR165793,29200,39,33,Full,Good,Good
2G1145S30G9387811,28988,46,20,Full,Good,Good
2G1355S30G9406243,10679,41,25,Full,Good,Good
1GKS2AKC3GR137935,24307,93,30,Full,Good,Good
2G1378S30G9373932,14357,83,21,Full,Good,Good
1GKS2AKC3GR897922,11802,85,24,Full,Good,Good
2G1355S30G9167366,7425,39,28,Full,Good,Good
1HAS4AKC3GR209549,25406,40,35,Full,Good,Good
1GKS2AKC3GR178993,29031,69,29,Full,Good,Good
1HAS4AKC3GR832942,26716,70,26,Full,Good,Good
1HAS4AKC3GR412611,20399,77,26,Full,Good,Good
1FAHP2F85GG726126,14342,73,29,Full,Good,Good
2G1145S30G9670226,10217,55,20,Full,Good,Good
1FAHP1F85GG975702,27050,40,35,Full,Good,Good
1GKS2AKC3GR761639,10327,38,24,Full,Good,Good
1GKS2AKC3GR197674,8532,94,33,Full,Acceptable,Good
1GKS2AKC3GR983440,23811,33,21,Full,Good,Good
1FAHP2F85GG800261,15815,57,26,Full,Good,Good
2G1378S30G9194545,13686,21,34,Full,Good,Good
1HAS4AKC3GR158117,23110,53,32,Full,Good,Good
2G1145S30G9116573,6455,52,36,Full,Good,Good
1FAHP1F85GG437786,7574,44,30,Full,Good,Good
2G1355S30G9593956,20254,96,32,Full,Good,Good
1HAS4AKC3GR491995,27687,77,27,Full,Good,Good
1HAS4AKC3GR629967,14633,89,20,Full,Good,Good
2G1145S30G9377026,16298,82,36,Full,Good,Good
1FAHP1F85GG553866,16403,98,20,Full,Good,Good
1FAHP2F85GG793137,8396,97,27,Full,Good,Good
1FAHP2F85GG597480,28352,40,26,Full,Good,Good
1FAHP1F85GG827761,12709,79,35,Full,Good,Good
1FAHP2F85GG812750,12449,88,27,Full,Good,Good
2G1145S30G9659503,7392,78,32,Full,Good,Good
1GKS2AKC3GR926155,12728,39,20,Full,Good,Good
1FAHP1F85GG243415,8873,36,20,Full,Good,Good
1HAS4AKC3GR129342,16461,48,28,Full,Good,Good
2G1378S30G9989956,29360,68,31,Full,Good,Good
1FAHP2F36GG320198,9618,97,24,Full,Good,Good
1FAHP2F36GG967879,9268,32,26,Acceptable,Good,Good
1FAHP2F36GG573941,27623,80,36,Full,Good,Good
2G1378S30G9728933,18048,53,21,Full,Good,Good
2G1378S30G9372221,7551,65,24,Full,Good,Good
1FAHP2F85GG742222,18863,39,30,Full,Good,Good
1HAS4AKC3GR508711,16568,35,34,Full,Good,Good
1GKS2AKC3GR466429,9979,56,36,Full,Good,Good
1FAHP2F36GG241215,15272,76,22,Full,Good,Good
1FAHP2F36GG194643,28261,75,33,Full,Good,Good
2G1145S30G9773521,17029,78,30,Full,Good,Good
1FAHP2F85GG408876,24803,58,32,Full,Good,Good
2G1355S30G9135805,6865,39,26,Full,Good,Good
1GKS2AKC3GR189341,23670,77,25,Full,Good,Good
1HAS4AKC3GR544306,19180,52,27,Full,Good,Good
1GKS2AKC3GR439549,13564,56,28,Full,Good,Good
1HAS4AKC3GR142578,9874,61,30,Full,Good,Good
2G1145S30G9800369,7625,41,32,Full,Good,Good
1FAHP2F36GG388662,12738,68,34,Full,Good,Good
1GKS2AKC3GR929939,13603,48,34,Full,Good,Good
1GKS2AKC3GR641755,29575,55,27,Full,Good,Good
2G1378S30G9409163,11546,37,30,Full,Good,Good
1FAHP2F85GG854736,11143,41,23,Full,Good,Good
1HAS4AKC3GR611274,10450,42,32,Full,Good,Good
1HAS4AKC3GR534652,29617,97,29,Full,Good,Good
1HAS4AKC3GR139378,21093,73,24,Full,Good,Good
1FAHP2F85GG662091,8308,99,24,Full,Good,Good
2G1378S30G9476205,25092,44,31,Full,Good,Good
1HAS4AKC3GR850286,26732,48,21,Full,Good,Good
2G1378S30G9880404,26303,92,35,Full,Good,Good
1FAHP1F85GG362161,7598,80,26,Full,Good,Good
2G1355S30G9952922,16668,52,25,Full,Good,Good
1FAHP1F85GG607555,14838,48,33,Acceptable,Good,Good
1FAHP1F85GG381273,8936,61,35,Full,Good,Good
1FAHP1F85GG986915,27685,83,28,Full,Good,Good
2G1378S30G9936029,13787,91,20,Full,Good,Good
2G1145S30G9947321,15507,36,36,Full,Good,Good
2G1355S30G9639889,27705,32,24,Full,Good,Good
2G1378S30G9977448,20518,50,24,Full,Good,Good
1HAS4AKC3GR699132,15021,40,29,Full,Good,Good
2G1378S30G9305529,27484,96,22,Full,Good,Good
2G1378S30G9733916,17277,63,21,Full,Good,Good
2G1378S30G9859416,15438,71,35,Full,Good,Good
1HAS4AKC3GR272081,15466,34,21,Full,Good,Good
1FAHP2F85GG621213,29678,46,26,Full,Good,Good
1GKS2AKC3GR733967,18338,68,24,Full,Good,Good
