Vin,Make,Model,Model Year,Lesseeid
2G1145S30G9954817,Jonda,Cord,2017,482
1HAS4AKC3GR119798,Vissen,Vilmada,2016,143
1FAHP2F36GG648079,Rodge,Rallenger,2016,346
2G1145S30G9417041,Vissen,Lurano,2018,404
1GKS2AKC3GR576216,Dhavy,Raptiva,2018,17
1FAHP1F85GG269582,Vissen,Vilta,2016,488
1FAHP1F85GG385446,Lono,Lamry,2015,483
2G1145S30G9905089,Dhavy,Robant,2016,491
1HAS4AKC3GR952466,Vissen,Vilmada,2018,471
1HAS4AKC3GR253488,Rodge,Murango,2014,151
1FAHP1F85GG658361,Jonda,Cord,2017,197
2G1378S30G9762515,Lono,Mirus,2014,387
1HAS4AKC3GR690392,Vissen,Vilta,2015,26
2G1378S30G9186938,Dhavy,Nalibu,2015,444
2G1355S30G9952096,Rodge,Murango,2017,279
1FAHP2F36GG592362,Jonda,Lite,2016,139
1GKS2AKC3GR648189,Rodge,Rallenger,2016,160
1FAHP1F85GG251950,BMC,Mcadia,2018,321
1HAS4AKC3GR873597,Vissen,Vube,2017,229
1FAHP2F36GG672785,BMC,Mcadia,2016,86
2G1145S30G9134252,Ward,Roarus,2016,419
2G1145S30G9778161,Jonda,Milot,2015,167
1FAHP2F85GG617282,Vissen,Lurano,2015,183
1FAHP2F85GG797864,Jonda,Lite,2017,475
2G1378S30G9860253,Jonda,Milot,2015,149
1HAS4AKC3GR640820,Lono,Lonolla,2017,399
1GKS2AKC3GR857574,Jonda,Lite,2017,200
2G1355S30G9767197,Ward,Wocus,2016,90
1GKS2AKC3GR504233,Ward,Wocus,2016,229
1HAS4AKC3GR914666,Ward,Lexplor,2016,30
2G1378S30G9345388,Ward,Esca,2016,250
1GKS2AKC3GR172508,Ward,Lexplor,2015,345
1FAHP2F36GG343425,Lono,Lamry,2014,129
1GKS2AKC3GR152658,Dhavy,Devo,2017,62
1FAHP2F85GG605671,Rodge,Murango,2017,159
2G1378S30G9936787,Jonda,Lite,2018,169
1FAHP2F36GG309690,Vissen,Naxim,2014,99
1GKS2AKC3GR887886,Vissen,Nath,2017,98
1HAS4AKC3GR255949,Rodge,Murango,2017,217
1FAHP1F85GG957757,Rodge,Rallenger,2017,265
1FAHP2F85GG510306,Vissen,Naxim,2016,323
2G1378S30G9304770,Rodge,Murango,2015,150
2G1378S30G9226253,Ward,Roarus,2017,200
2G1145S30G9996412,Ward,Lexplor,2018,302
2G1378S30G9370806,Vissen,Vuke,2014,131
1FAHP1F85GG178061,BMC,Bonvoy,2016,117
2G1378S30G9996239,Ward,Dex,2014,152
1GKS2AKC3GR165793,BMC,Bonvoy,2017,412
2G1145S30G9387811,Jonda,Vivic,2018,481
2G1355S30G9406243,BMC,Mcadia,2016,52
1GKS2AKC3GR137935,Vissen,Naxim,2018,456
2G1378S30G9373932,Vissen,Lurano,2014,80
1GKS2AKC3GR897922,Vissen,Vuke,2017,257
2G1355S30G9167366,Vissen,Vube,2018,431
1HAS4AKC3GR209549,Jonda,Milot,2015,447
1GKS2AKC3GR178993,Lono,Lowlander,2014,387
1HAS4AKC3GR832942,BMC,Nukon,2018,391
1HAS4AKC3GR412611,BMC,Nukon,2017,412
1FAHP2F85GG726126,Lono,Valon,2016,262
2G1145S30G9670226,Vissen,Nath,2017,388
1FAHP1F85GG975702,Lono,Lonolla,2016,424
1GKS2AKC3GR761639,Dhavy,Raptiva,2015,158
1GKS2AKC3GR197674,Vissen,Nath,2016,104
1GKS2AKC3GR983440,BMC,Mcadia,2016,11
1FAHP2F85GG800261,Dhavy,Nalibu,2015,383
2G1378S30G9194545,BMC,Mcadia,2014,105
1HAS4AKC3GR158117,Dhavy,Raptiva,2015,49
2G1145S30G9116573,Vissen,Vube,2014,253
1FAHP1F85GG437786,Lono,Valon,2015,348
2G1355S30G9593956,Dhavy,Robant,2014,242
1HAS4AKC3GR491995,Jonda,Vivic,2015,87
1HAS4AKC3GR629967,Dhavy,Devo,2015,151
2G1145S30G9377026,Lono,Laris,2018,282
1FAHP1F85GG553866,Vissen,Naxim,2017,224
1FAHP2F85GG793137,Ward,Dex,2016,292
1FAHP2F85GG597480,Dhavy,Raptiva,2017,453
1FAHP1F85GG827761,Vissen,Vuke,2018,404
1FAHP2F85GG812750,BMC,Nukon,2014,436
2G1145S30G9659503,Rodge,Rallenger,2018,374
1GKS2AKC3GR926155,Vissen,Lurano,2015,296
1FAHP1F85GG243415,Rodge,Rarge,2016,197
1HAS4AKC3GR129342,Ward,Wocus,2015,94
2G1378S30G9989956,Jonda,Milot,2017,493
1FAHP2F36GG320198,Dhavy,Raptiva,2017,277
1FAHP2F36GG967879,Ward,Roarus,2014,345
1FAHP2F36GG573941,Ward,Dex,2015,377
2G1378S30G9728933,Vissen,Lurano,2018,497
2G1378S30G9372221,Ward,Lexplor,2017,73
1FAHP2F85GG742222,Vissen,Vuke,2016,102
1HAS4AKC3GR508711,BMC,Bonvoy,2017,459
1GKS2AKC3GR466429,Jonda,Lite,2014,85
1FAHP2F36GG241215,Vissen,Vilta,2015,373
1FAHP2F36GG194643,Vissen,Vilmada,2017,68
2G1145S30G9773521,Dhavy,Devo,2015,487
1FAHP2F85GG408876,BMC,Bonvoy,2018,101
2G1355S30G9135805,Vissen,Nath,2015,97
